series,id,stardate,title
Original Series,1307,2269-02,Is There in Truth No Beauty?
Original Series,1308,2268-11,Empath
Original Series,1309,2269-03,Tholian Web
Original Series,1310,2269-01,For the World Is Hollow ..
Original Series,1311,2269,Day of the Dove
Original Series,1312,2269-03,Plato's Stepchildren
Original Series,1313,2269-03,Wink of an Eye
Original Series,1314,2269,That Which Survives
Original Series,1315,2269-03,Let That Be Your Last Battlefield
Original Series,1316,2269-03,Whom Gods Destroy
Original Series,1317,2269-01,Mark of Gideon
Original Series,1318,2269-03,Lights of Zetar
Original Series,1319,2269-03,Cloud Minders
Original Series,1320,2269-03,Way to Eden
Original Series,1321,2269-04,Requiem for Methuselah
Original Series,1322,2269-04,Savage Curtain
Original Series,1323,2269-04,All Our Yesterdays
Original Series,1324,2269-03,Turnabout Intruder
Theatrical 1,M-01,2272-01,Star Trek: The Motion Picture
Theatrical 2,M-02,2285-05,Star Trek 2: The Wrath of Khan
Theatrical 3,M-03,2285-10,Star Trek 3: The Search for Spock
Theatrical 4,M-04,2286-10,Star Trek 4: The Voyage Home
Theatrical 5,M-05,2287-02,Star Trek 5: The Final Frontier
Theatrical 6,M-06,2292-12,Star Trek 6: The Undiscovered Country
Next Generation,3101,2364-02,Encounter at Farpoint Part I
Next Generation,3102,2364-02,Encounter at Farpoint Part II
Next Generation,3103,2364-03,Naked Now
Next Generation,3104,2364-03,Code of Honor
Next Generation,3105,2364-04,Haven
Next Generation,3106,2364-04,Where No One Has Gone Before
Next Generation,3107,2364-05,Last Outpost
Next Generation,3108,2364-04,Lonely Among Us
Next Generation,3109,2364-04,Justice
Next Generation,3110,2364-09,Battle
Next Generation,3111,2364-08,Hide and Q
Next Generation,3112,2364-04,Too Short a Season
Next Generation,3113,2364-12,Big Goodbye
Next Generation,3114,2364-03,Datalore
Next Generation,3115,2364-08,Angel One
Next Generation,3116,2364-05,11001001
Next Generation,3117,2364-06,Home Soil
Next Generation,3118,2364-07,When the Bough Breaks
Next Generation,3119,2364-05,Coming of Age
Next Generation,3120,2364-07,Heart of Glory
Next Generation,3121,2364-10,Arsenal of Freedom
Next Generation,3123,2364-08,Symbiosis
Next Generation,3122,2364-08,Skin of Evil
Next Generation,3124,2364-09,We'll Always Have Paris
Next Generation,3125,2364-10,Conspiracy
Next Generation,3126,2364-12,Neutral Zone
Next Generation,3201,2365-01,Child
