date,actions,rank
2018-02-13,31,"git4"
2018-02-14,17,"git2"
2018-02-15,18,"git2"
2018-02-16,1,"git1"
2018-02-17,0,"git0"
2018-02-18,5,"git1"
2018-02-19,25,"git3"
2018-02-20,10,"git2"
2018-02-21,29,"git3"
2018-02-22,7,"git1"
2018-02-23,0,"git0"
2018-02-24,0,"git0"
2018-02-25,0,"git0"
2018-02-26,4,"git1"
2018-02-27,0,"git0"
2018-02-28,0,"git0"
2018-03-01,7,"git1"
2018-03-02,1,"git1"
2018-03-03,0,"git0"
2018-03-04,6,"git1"
2018-03-05,6,"git1"
2018-03-06,0,"git0"
2018-03-07,3,"git1"
2018-03-08,0,"git0"
2018-03-09,1,"git1"
2018-03-10,0,"git0"
2018-03-11,0,"git0"
2018-03-12,0,"git0"
2018-03-13,0,"git0"
2018-03-14,0,"git0"
2018-03-15,21,"git3"
2018-03-16,60,"git4"
2018-03-17,12,"git2"
2018-03-18,3,"git1"
2018-03-19,5,"git1"
2018-03-20,2,"git1"
2018-03-21,4,"git1"
2018-03-22,5,"git1"
2018-03-23,1,"git1"
2018-03-24,0,"git0"
2018-03-25,0,"git0"
2018-03-26,3,"git1"
2018-03-27,6,"git1"
2018-03-28,42,"git4"
2018-03-29,10,"git2"
2018-03-30,2,"git1"
2018-03-31,0,"git0"
2018-04-01,0,"git0"
2018-04-02,5,"git1"
2018-04-03,1,"git1"
2018-04-04,2,"git1"
2018-04-05,14,"git2"
2018-04-06,4,"git1"
2018-04-07,2,"git1"
2018-04-08,4,"git1"
2018-04-09,6,"git1"
2018-04-10,15,"git2"
2018-04-11,38,"git4"
2018-04-12,12,"git2"
2018-04-13,20,"git3"
2018-04-14,0,"git0"
2018-04-15,12,"git2"
2018-04-16,22,"git3"
2018-04-17,30,"git4"
2018-04-18,30,"git4"
2018-04-19,9,"git1"
2018-04-20,0,"git0"
2018-04-21,0,"git0"
2018-04-22,0,"git0"
2018-04-23,32,"git4"
2018-04-24,0,"git0"
2018-04-25,10,"git2"
2018-04-26,3,"git1"
2018-04-27,1,"git1"
2018-04-28,1,"git1"
2018-04-29,1,"git1"
2018-04-30,13,"git2"
2018-05-01,12,"git2"
2018-05-02,4,"git1"
2018-05-03,34,"git4"
2018-05-04,3,"git1"
2018-05-05,0,"git0"
2018-05-06,0,"git0"
2018-05-07,22,"git3"
2018-05-08,12,"git2"
2018-05-09,99,"git4"
2018-05-10,40,"git4"
2018-05-11,0,"git0"
2018-05-12,2,"git1"
2018-05-13,8,"git1"
2018-05-14,13,"git2"
2018-05-15,40,"git4"
2018-05-16,28,"git3"
2018-05-17,23,"git3"
2018-05-18,37,"git4"
2018-05-19,1,"git1"
2018-05-20,4,"git1"
2018-05-21,8,"git1"
2018-05-22,20,"git3"
2018-05-23,22,"git3"
2018-05-24,1,"git1"
2018-05-25,3,"git1"
2018-05-26,1,"git1"
2018-05-27,1,"git1"
2018-05-28,4,"git1"
2018-05-29,9,"git1"
2018-05-30,7,"git1"
2018-05-31,36,"git4"
2018-06-01,20,"git3"
2018-06-02,13,"git2"
2018-06-03,3,"git1"
2018-06-04,13,"git2"
2018-06-05,10,"git2"
2018-06-06,8,"git1"
2018-06-07,25,"git3"
2018-06-08,5,"git1"
2018-06-09,0,"git0"
2018-06-10,2,"git1"
2018-06-11,3,"git1"
2018-06-12,7,"git1"
2018-06-13,1,"git1"
2018-06-14,0,"git0"
